episode_name,link,airdate,show_name,series_name
The Cage,1.htm, unaired,Star Trek,The Original Series
The Man Trap,6.htm," 8
Sep, 1966",Star Trek,The Original Series
Charlie X,8.htm," 15
Sep, 1966",Star Trek,The Original Series
Where No Man Has Gone Before,2.htm," 22
Sep, 1966",Star Trek,The Original Series
The Naked Time,7.htm," 29
Sep, 1966",Star Trek,The Original Series
The Enemy Within,5.htm," 6
Oct, 1966",Star Trek,The Original Series
Mudd's Women,4.htm," 13
Oct, 1966",Star Trek,The Original Series
What Are Little Girls Made Of?,10.htm," 20
Oct, 1966",Star Trek,The Original Series
Miri,12.htm," 27
Oct, 1966",Star Trek,The Original Series
Dagger Of The Mind,11.htm," 3
Nov, 1966",Star Trek,The Original Series
The Corbomite Maneuver,3.htm," 10
Nov, 1966",Star Trek,The Original Series
"The Menagerie, part 1",16.htm," 17
Nov, 1966",Star Trek,The Original Series
"The Menagerie, part 2",16b.htm," 24
Nov, 1966",Star Trek,The Original Series
The Conscience of the King,13.htm," 8
Dec, 1966",Star Trek,The Original Series
Balance of Terror,9.htm," 15
Dec, 1966",Star Trek,The Original Series
Shore Leave,17.htm," 29
Dec, 1966",Star Trek,The Original Series
The Galileo Seven,14.htm," 5
Jan, 1967",Star Trek,The Original Series
The Squire of Gothos,18.htm," 12
Jan, 1967",Star Trek,The Original Series
Arena,19.htm," 19
Jan, 1967",Star Trek,The Original Series
Tomorrow is Yesterday,21.htm," 26
Jan, 1967",Star Trek,The Original Series
Court Martial,15.htm," 2
Feb, 1967",Star Trek,The Original Series
The Return of The Archons,22.htm," 9
Feb, 1967",Star Trek,The Original Series
Space Seed,24.htm," 16
Feb, 1967",Star Trek,The Original Series
A Taste of Armageddon,23.htm," 23
Feb, 1967",Star Trek,The Original Series
This Side of Paradise,25.htm," 2
Mar, 1967",Star Trek,The Original Series
The Devil in the Dark,26.htm," 9
Mar, 1967",Star Trek,The Original Series
Errand of Mercy,27.htm," 23
Mar, 1967",Star Trek,The Original Series
The Alternative Factor,20.htm," 30
Mar, 1967",Star Trek,The Original Series
The City on the Edge of Forever,28.htm," 6
Apr, 1967",Star Trek,The Original Series
Operation: Annihilate!,29.htm," 13
Apr, 1967",Star Trek,The Original Series
Amok Time,34.htm," 15 Sep, 1967",Star Trek,The Original Series
Who Mourns For  Adonais?,33.htm," 22 Sep, 1967",Star Trek,The Original Series
The Changeling,37.htm," 29 Sep, 1967",Star Trek,The Original Series
"Mirror, Mirror",39.htm," 6 Oct, 1967",Star Trek,The Original Series
The Apple,38.htm, 13 Oct. 1967,Star Trek,The Original Series
The Doomsday Machine,35.htm," 20 Oct, 1967",Star Trek,The Original Series
Catspaw,30.htm, 27 Oct. 1967,Star Trek,The Original Series
"I, Mudd",41.htm," 3 Nov, 1967",Star Trek,The Original Series
Metamorphosis,31.htm," 10 Nov, 1967",Star Trek,The Original Series
Journey to Babel,44.htm," 17 Nov, 1967",Star Trek,The Original Series
Friday's Child,32.htm," 1 Dec, 1967",Star Trek,The Original Series
