episode_name,link,airdate,series_name,show_name
Encounter at Farpoint,101.htm," 28
Sept, 1987",The Next Generation,Star Trek
The Naked Now,103.htm," 5
Oct, 1987",The Next Generation,Star Trek
Code of Honour,104.htm," 12
Oct, 1987",The Next Generation,Star Trek
The Last Outpost,107.htm," 19
Oct, 1987",The Next Generation,Star Trek
Where No One Has Gone Before,106.htm," 26
Oct 1987",The Next Generation,Star Trek
Lonely Among Us,108.htm," 2
Nov, 1987",The Next Generation,Star Trek
Justice,109.htm," 9
Nov, 1987",The Next Generation,Star Trek
The Battle,110.htm," 16
Nov, 1987",The Next Generation,Star Trek
Hide & Q,111.htm," 23
Nov, 1987",The Next Generation,Star Trek
Haven,105.htm," 30
Nov, 1987",The Next Generation,Star Trek
The Big Goodbye,113.htm," 11
Jan, 1988",The Next Generation,Star Trek
Datalore,114.htm," 18
Jan, 1988",The Next Generation,Star Trek
Angel One,115.htm," 25
Jan, 1988",The Next Generation,Star Trek
11001001,116.htm," 1
Feb, 1988",The Next Generation,Star Trek
Too Short A Season,112.htm," 8
Feb, 1988",The Next Generation,Star Trek
When The Bough Breaks,118.htm," 15
Feb, 1988",The Next Generation,Star Trek
Home Soil,117.htm," 22
Feb, 1988",The Next Generation,Star Trek
Coming of Age,119.htm," 14
Mar, 1988",The Next Generation,Star Trek
Heart Of Glory,120.htm," 21
Mar, 1988",The Next Generation,Star Trek
The Arsenal Of Freedom,121.htm," 11
Apr, 1988",The Next Generation,Star Trek
Symbiosis,123.htm," 18
Apr, 1988",The Next Generation,Star Trek
Skin Of Evil,122.htm," 25
Apr, 1988",The Next Generation,Star Trek
We'll Always Have Paris,124.htm," 2
May, 1988",The Next Generation,Star Trek
Conspiracy,125.htm," 9
May, 1988",The Next Generation,Star Trek
The Neutral Zone,126.htm," 16
May, 1988",The Next Generation,Star Trek
The Child,127.htm," 21 Nov, 1988",The Next Generation,Star Trek
"Where Silence Has
Lease",128.htm," 28 Nov, 1988",The Next Generation,Star Trek
"Elementary, Dear Data",129.htm," 5 Dec, 1988",The Next Generation,Star Trek
The Outrageous Okona,130.htm," 12 Dec, 1988",The Next Generation,Star Trek
Loud as a Whisper,132.htm," 9 Jan, 1989",The Next Generation,Star Trek
The Schizoid Man,131.htm," 23 Jan, 1989",The Next Generation,Star Trek
Unnatural Selection,133.htm," 30 Jan, 1989",The Next Generation,Star Trek
A Matter of Honour,134.htm," 6 Feb, 1989",The Next Generation,Star Trek
The Measure of a Man,135.htm, 13 Feb. 1989,The Next Generation,Star Trek
The Dauphin,136.htm," 20 Feb, 1989",The Next Generation,Star Trek
Contagion,137.htm," 20 Mar, 1989",The Next Generation,Star Trek
The Royale,138.htm," 27 Mar, 1989",The Next Generation,Star Trek
Time Squared,139.htm," 3 Apr, 1989",The Next Generation,Star Trek
The Icarus Factor,140.htm," 24 Apr, 1989",The Next Generation,Star Trek
Pen Pals,141.htm," 1 May, 1989",The Next Generation,Star Trek
Q Who?,142.htm," 8 May, 1989",The Next Generation,Star Trek
Samaritan Snare,143.htm," 15 May, 1989",The Next Generation,Star Trek
Up The Long Ladder,144.htm," 22 May, 1989",The Next Generation,Star Trek
Manhunt,145.htm," 19 Jun, 1989",The Next Generation,Star Trek
The Emissary,146.htm," 29 Jun, 1989",The Next Generation,Star Trek
Peak Performance,147.htm," 10 Jul, 1989",The Next Generation,Star Trek
Shades Of Gray,148.htm," 17 Jul, 1989",The Next Generation,Star Trek
Evolution,150.htm," 25 Sep, 1989",The Next Generation,Star Trek
